,EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],GALEX_FUV,GALEX_NUV,phase
163,397,9.69,0.9690922416308243,0.9686295324995654,3.8993509801757194,4.328142447586142,0.6466644540034293,-4.0,-4.587049,20.494387,16.627506,0.0
164,416,9.69,0.9984843900506323,0.9978631742330304,3.921220837073077,4.218855162913804,0.8578308350260617,-4.0,-4.464284,19.16783,16.108624,0.0
165,417,9.69,0.9998814859033321,0.999251608414213,3.922198939959945,4.212591341464167,0.8686114342840365,-4.0,-4.452024,19.097385,16.08293,0.0
166,418,9.69,1.0012504286142798,1.0006118055781814,3.923141978958717,4.2061984182349645,0.8793686046708524,-4.0,-4.440226,19.028219,16.057373,0.0
167,456,9.69,1.0299113325076934,1.0289851990997811,3.9057139633552658,3.835575775235412,1.1924300956706169,-4.0,-4.260783,18.717773,15.385939,2.0
168,457,9.69,1.0302027772412004,1.029271048944278,3.902704828120988,3.8175664462313232,1.1985230256352193,-4.0,-4.238196,18.807167,15.378214,2.0
169,458,9.69,1.0304702422162664,1.029533199558035,3.8996120589058214,3.79951822714666,1.2043103507505886,-4.0,-4.230744,18.896847,15.371516,2.0
170,459,9.69,1.030715896222172,1.029773804909463,3.896442063979584,3.781443923019356,1.20980580384696,-4.0,-4.244972,18.989445,15.365671,2.0
171,460,9.69,1.0309424624874106,1.0299955610051583,3.893205199283975,3.763362635322803,1.215032779767153,-4.0,-4.237445,19.083504,15.360617,2.0
172,461,9.69,1.031152542382574,1.0302010497471497,3.8899094128634353,3.74528139467036,1.2200168931358262,-4.0,-4.244534,19.17614,15.356338,2.0
